scope,policy,k,n_overlays,n_jobs_per_overlay,p99_deadline_s,p99_deadline_lo,p99_deadline_hi,mean_wait_s,mean_wait_lo,mean_wait_hi,p99_all_s_mean_across_overlays,max_wait_s_across_overlays,max_wait_s_across_policies,max_wait_plus_L_weeks,max_wait_across_policies_plus_L_weeks,max_excess_s,max_excess_resample_stability_lo,max_excess_resample_stability_hi,harm_s,harm_resample_stability_lo,harm_resample_stability_hi,absolute_p99_improvement_s,absolute_p99_improvement_lo,absolute_p99_improvement_hi,simultaneous_improvement_lo,simultaneous_improvement_hi,gap_closed,gap_closed_lo,gap_closed_hi,gap_valid_bootstrap_draws,gap_total_bootstrap_draws,gap_interval_all_draws_valid,reduction_pct,reduction_pct_lo,reduction_pct_hi,reduction_valid_bootstrap_draws,reduction_total_bootstrap_draws,reduction_interval_all_draws_valid,promise_cost_vs_SPJF_s,promise_cost_lo,promise_cost_hi,positive_wait_probability_mean,guard_forced_dispatches_total,guard_fired_fraction_mean,guard_fired_queue_weighted_mean,bound_checks_total,bound_violations_total,max_bound_violation_s,max_fraction_of_allowed_excess,simulated_overlay_cells,certified_identical_overlay_cells,certificate_kernel_validations,certificate_max_in_us,theorem_floor_s,fcfs_p99_deadline_s,fcfs_p99_div_floor,floor_eligible_mean_fcfs_p99_gt_floor,overlays_fcfs_p99_gt_floor,overlays_in_scope,promise_G_s,fcfs_p99_div_G,G_below_fcfs_p99,busy_hour_offered_load_mean,b0_s,eta,gamma_s,bmax_s
overlay0_full_envelope,FCFS,1,1,17634760,110194.2548486,94317.69721271549,116737.44017422394,20070.62067087102,10503.987345477657,29341.64175556345,108410.21942924,125374.723699,412270.285375,0.20739868336474868,0.6817630379877645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2000,2000,True,0.0,0.0,0.0,2000,2000,True,,,,0.9326356582113962,0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,60.0,110194.2548486,1836.5709141433333,True,1,1,,,False,4.235428661112156,0.0,0.0,0.0,0.0
overlay0_full_envelope,SJF,1,1,17634760,32908.28522420003,18737.5067547,39799.016478387995,727.4698904166291,392.6412418795009,1037.3358497483503,20329.63203472001,395287.665811,412270.285375,0.6536833098726852,0.6817630379877645,392769.609994,343900.129871,392769.609994,755.566349,272.533447,755.566349,77285.96962439996,69975.79452303404,83699.97344246425,,,1.0,1.0,1.0,2000,2000,True,70.13611529075273,65.52208156274243,80.60101466382633,2000,2000,True,,,,0.9326353179742736,0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,60.0,110194.2548486,1836.5709141433333,True,1,1,,,False,4.235428661112156,0.0,0.0,0.0,0.0
overlay0_full_envelope,SPJF-E,1,1,17634760,136699.55758410104,64205.66508901147,168820.76494380998,3084.3911259959114,1568.465392914412,4554.817837327795,66894.2034900801,412270.285375,412270.285375,0.6817630379877645,0.6817630379877645,411330.261637,364749.962804,411330.261637,21146.752755,1110.029059,21146.752755,-26505.30273550104,-54720.92121021674,33843.052563840945,,,-0.34295102803669875,-0.7340233343018425,0.42674226147488825,2000,2000,True,-24.053252841464072,-48.31017401359361,33.87947114181489,2000,2000,True,,,,0.9326354313866477,0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,60.0,110194.2548486,1836.5709141433333,True,1,1,,,False,4.235428661112156,0.0,0.0,0.0,0.0
overlay0_full_envelope,Guard(300),1,1,17634760,110417.88798665004,94546.67797171522,116801.21042655368,19964.25557431582,10421.568884391003,29230.32410989259,108637.64394363,125614.905528,412270.285375,0.20779580940476192,0.6817630379877645,295.264431,293.866343,295.264431,75.071002,69.748011,75.071002,-223.63313805003418,-237.55359341199764,-19.53803583199055,,,-0.0028935800267094135,-0.0031704263167540675,-0.00025603102424578636,2000,2000,True,-0.20294446235631075,-0.22941992564648656,-0.020891391647182008,2000,2000,True,-26281.669597451008,-54516.739802379234,34054.18779168494,0.9326355447990219,9111325,0.5166685001667162,0.9844680912803951,17634760,0,0.0,0.98421477,1,0,0,0,60.0,110194.2548486,1836.5709141433333,True,1,1,300.0,367.3141828286667,True,4.235428661112156,15.0,0.5,0.0,240.0
overlay0_full_envelope,Guard(600),1,1,17634760,110713.3043095,94842.8673519085,117083.93243893448,19809.223301692822,10293.807851438372,29052.705754546332,108928.52667437,125914.736508,412270.285375,0.20829156168650795,0.6817630379877645,597.967704,596.594842,597.967704,162.725681,151.560694,162.725681,-519.0494609000016,-536.9548009130001,-288.7246626470014,,,-0.006715959745637097,-0.007207449197893602,-0.003894548859085153,2000,2000,True,-0.4710313270080578,-0.5291984885741449,-0.27687219265016455,2000,2000,True,-25986.25327460104,-54220.60030562924,34344.10079451795,0.9326355447990219,8423298,0.4776531123757851,0.9666006713426929,17634760,0,0.0,0.9966128399999998,1,0,0,0,60.0,110194.2548486,1836.5709141433333,True,1,1,600.0,183.65709141433334,True,4.235428661112156,30.0,0.75,0.0,540.0
overlay0_full_envelope,Guard(1200),1,1,17634760,111306.8823611,95438.55542409874,117673.99259117198,19488.15560094168,10094.90367190709,28629.329736136344,109503.93654065,126514.820822,412270.285375,0.2092837645866402,0.6817630379877645,1197.444686,1195.648709,1197.444686,50.535326,37.600399,50.535326,-1112.6275124999956,-1134.3930048447492,-825.9155837307583,,,-0.014396241878147155,-0.015300693649750797,-0.01069137740855196,2000,2000,True,-1.0096964801192911,-1.1242604774999911,-0.7498320808611372,2000,2000,True,-25392.675223001046,-53676.70870014174,34901.01863960997,0.9326354313866477,8951101,0.5075828080450202,0.9333206986512718,17634760,0,0.0,0.9978705716666667,1,0,0,0,60.0,110194.2548486,1836.5709141433333,True,1,1,1200.0,91.82854570716667,True,4.235428661112156,0.0,0.0,4.0,1140.0
overlay0_full_envelope,FCFS,2,1,17634760,10831.982740300005,7394.9542189027525,11982.091299150998,718.9635463247515,337.08454700713753,1096.1751486108838,9294.21315644,14009.857511,49591.919776,0.023263653291997356,0.08209642820105821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,2000,2000,True,0.0,0.0,0.0,2000,2000,True,,,,0.7466491179919659,0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,120.0,10831.982740300005,90.26652283583338,True,1,1,,,False,2.117714330556078,0.0,0.0,0.0,0.0
overlay0_full_envelope,SJF,2,1,17634760,96.39778530000008,76.28518074425008,127.71585275249727,14.580228404036694,8.267125276923577,20.954163163422333,57.72309606000001,48905.26726,49591.919776,0.0809610900462963,0.08209642820105821,48761.771352,44263.015375,48761.771352,439.790109,400.073767,439.790109,10735.584955000006,7305.104488077002,11879.58526557741,,,1.0,1.0,1.0,2000,2000,True,99.11006334102292,98.7149203400343,99.26982313852506,2000,2000,True,,,,0.7465654196598083,0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,120.0,10831.982740300005,90.26652283583338,True,1,1,,,False,2.117714330556078,0.0,0.0,0.0,0.0
overlay0_full_envelope,SPJF-E,2,1,17634760,1752.0550093500005,655.6504394740001,4891.803080343998,63.95932245511289,30.222311131440527,100.53880980838706,340.8264096800009,49591.919776,49591.919776,0.08209642820105821,0.08209642820105821,49369.397235,44963.73602,49369.397235,458.51795,332.321261,458.51795,9079.927730950005,6278.3041320144985,10027.715809336745,,,0.8457785736883492,0.5947503148450599,0.9292581303058868,2000,2000,True,83.82516801073231,58.91455880501635,92.12773981319877,2000,2000,True,,,,0.746594623346164,0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,120.0,10831.982740300005,90.26652283583338,True,1,1,,,False,2.117714330556078,0.0,0.0,0.0,0.0
overlay0_full_envelope,Guard(300),2,1,17634760,10889.268026600002,7504.49029927475,12111.012467175,662.9596305371238,304.47465866302235,1030.6661311143107,9317.76843167,14189.991287,49591.919776,0.023561493530092594,0.08209642820105821,269.319922,237.106517,269.319922,108.42574,68.191186,108.42574,-57.2852862999971,-162.04961646275007,55.36701042370042,,,-0.005336019093521026,-0.019563188993663265,0.0051688067606180214,2000,2000,True,-0.5288531903477767,-1.9341952884743843,0.5118866573986363,2000,2000,True,9137.213017250002,6371.456208974498,10126.351076974754,0.7465983659545126,2641453,0.14978672803032192,0.8715292441299003,17634760,0,0.0,0.8977330733333334,1,0,0,0,120.0,10831.982740300005,90.26652283583338,True,1,1,300.0,36.106609134333354,True,2.117714330556078,30.0,0.5,0.0,360.0
