pool,k,objective,n_fit,sim_mean,recorded_mean,sim_p90,recorded_p90
CE1,1,21.420017232092157,44677,21305258.886809766,604.2054972357141,38110771.8,667.4000000000015
CE1,2,19.85599274886652,44677,9241682.76480068,604.2054972357141,18388074.8,667.4000000000015
CE1,3,18.771945000043047,44677,5220234.122098619,604.2054972357141,11010355.200000005,667.4000000000015
CE1,4,17.84635127337457,44677,3209719.3722944693,604.2054972357141,7096495.4,667.4000000000015
CE1,5,17.00851995948878,44677,2003426.2605815073,604.2054972357141,4918945.4,667.4000000000015
CE1,6,16.165869145356602,44677,1211172.5260648655,604.2054972357141,3503326.2,667.4000000000015
CE1,7,15.640943818874753,44677,925627.4158291739,604.2054972357141,2711927.4000000004,667.4000000000015
CE1,8,15.157051317769664,44677,723925.5093448531,604.2054972357141,2137314.2,667.4000000000015
CE1,9,14.682389802140229,44677,568746.8637553998,604.2054972357141,1692388.8,667.4000000000015
CE1,10,14.320935675849654,44677,462404.00978131924,604.2054972357141,1450173.0,667.4000000000015
CE1,11,14.015146715838146,44677,383950.26881840767,604.2054972357141,1286363.6,667.4000000000015
CE1,12,13.726991395939333,44677,323448.63627817447,604.2054972357141,1144692.6000000003,667.4000000000015
CE1,13,13.485924377077204,44677,280855.68616961746,604.2054972357141,1035897.2000000001,667.4000000000015
CE1,14,13.226358567728045,44677,248049.09579873312,604.2054972357141,904761.2000000017,667.4000000000015
CE1,15,13.045764404641915,44677,220899.6871096985,604.2054972357141,848096.4,667.4000000000015
CE1,16,12.853651210591181,44677,198063.47628533698,604.2054972357141,780552.2,667.4000000000015
CE1,17,12.662572172551677,44677,178179.26982563734,604.2054972357141,716744.4000000015,667.4000000000015
CE1,18,12.467979214268254,44677,160726.00492423394,604.2054972357141,654070.2000000001,667.4000000000015
CE1,19,12.247445695098968,44677,145483.77726794546,604.2054972357141,579587.6,667.4000000000015
CE1,20,12.026190520098497,44677,131913.88405667344,604.2054972357141,512333.6,667.4000000000015
CE1,21,11.810429147190185,44677,119920.94892226426,604.2054972357141,454196.6,667.4000000000015
CE1,22,11.589075632519705,44677,108914.44615797838,604.2054972357141,400793.2,667.4000000000015
CE1,23,11.341120725107563,44677,98679.02596414262,604.2054972357141,345219.2000000001,667.4000000000015
CE1,24,11.096548086035977,44677,89759.67585110907,604.2054972357141,297181.20000000007,667.4000000000015
CE1,25,10.844494926215791,44677,81938.93692503973,604.2054972357141,253015.00000000471,667.4000000000015
CE1,26,10.59280776783876,44677,75054.7331512859,604.2054972357141,214759.0,667.4000000000015
CE1,27,10.35204485013853,44677,68514.67905186114,604.2054972357141,184919.60000000006,667.4000000000015
CE1,28,10.12398603586223,44677,61891.85247442756,604.2054972357141,162962.4000000001,667.4000000000015
CE1,29,9.895023109419745,44677,56174.32179868836,604.2054972357141,142805.4000000005,667.4000000000015
CE1,30,9.715913133204285,44677,51593.11448843924,604.2054972357141,129988.00000000019,667.4000000000015
CE1,31,9.543740213518735,44677,48001.06990173915,604.2054972357141,117616.80000000008,667.4000000000015
CE1,32,9.344473077204373,44677,44626.629518544214,604.2054972357141,103653.60000000012,667.4000000000015
CE1,33,9.172742112380924,44677,41432.316270116615,604.2054972357141,94027.80000000009,667.4000000000015
CE1,34,9.009620528510652,44677,38748.59777961815,604.2054972357141,85407.4,667.4000000000015
CE1,35,8.891987697531523,44677,36235.02177854377,604.2054972357141,81196.0,667.4000000000015
CE1,36,8.723648052787366,44677,33803.69565995927,604.2054972357141,73551.0,667.4000000000015
CE1,37,8.5433244731571,44677,31307.098081787048,604.2054972357141,66312.40000000001,667.4000000000015
CE1,38,8.33394108351907,44677,29008.56111645813,604.2054972357141,58046.400000000016,667.4000000000015
CE1,39,8.100916425418347,44677,26148.52944468071,604.2054972357141,51009.4,667.4000000000015
CE1,40,7.931871966714965,44677,24233.18011504801,604.2054972357141,46480.4,667.4000000000015
CE1,41,7.74458685574996,44677,22466.626049197574,604.2054972357141,41572.200000000026,667.4000000000015
CE1,42,7.579583065612515,44677,20977.08496541845,604.2054972357141,37751.40000000001,667.4000000000015
CE1,43,7.413233128845146,44677,19489.649528840342,604.2054972357141,34405.40000000001,667.4000000000015
CE1,44,7.265126034344284,44677,18182.75439264051,604.2054972357141,31801.400000000016,667.4000000000015
CE1,45,7.11600727873781,44677,16810.269736105827,604.2054972357141,29632.4,667.4000000000015
CE1,46,6.965410310222239,44677,15588.95655482687,604.2054972357141,27486.4,667.4000000000015
CE1,47,6.818221744846779,44677,14464.546589967993,604.2054972357141,25568.400000000038,667.4000000000015
CE1,48,6.631359617063191,44677,12901.77247800882,604.2054972357141,23779.40000000001,667.4000000000015
CE1,49,6.458866032968027,44677,11726.65861629026,604.2054972357141,22017.000000000007,667.4000000000015
CE1,50,6.295911741034965,44677,10732.945587214897,604.2054972357141,20438.0,667.4000000000015
CE1,51,6.120226993224238,44677,9828.589945609598,604.2054972357141,18722.4,667.4000000000015
