pool,queue,k,objective,n_fit,sim_mean,recorded_mean,sim_p90,recorded_p90
CE1,1,1,13.592018386106371,1927,6.600934094447328,4970.010897768552,17.40000000000009,22498.8
CE1,1,2,15.686024591106726,1927,1.461338868707836,4970.010897768552,6.0,22498.8
CE1,1,3,17.105669156123394,1927,0.3886870783601453,4970.010897768552,2.0,22498.8
CE1,1,4,18.49495753145589,1927,0.038401660612350806,4970.010897768552,0.0,22498.8
CE1,1,5,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,6,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,7,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,8,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,9,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,10,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,11,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,12,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,13,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,14,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,15,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,16,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,17,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,18,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,19,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,20,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,21,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,22,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,23,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,24,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,25,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,26,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,27,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,28,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,29,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,30,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,31,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,32,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,33,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,34,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,35,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,36,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,37,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,38,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,39,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,40,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,41,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,42,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,43,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,44,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,45,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,46,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,47,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,48,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,49,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,50,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,51,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,52,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,53,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,54,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,55,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,56,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,57,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,58,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,59,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,60,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,61,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,62,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,63,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,64,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,65,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,66,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,67,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,68,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,69,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,70,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,71,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,72,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,73,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,74,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,75,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,76,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,77,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,78,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,79,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,80,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,81,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,82,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,83,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,1,84,18.532640197625255,1927,0.0,4970.010897768552,0.0,22498.8
CE1,2,1,14.626247754172773,29838,513507.7011864066,314.46031905623704,1048907.0,758.0
CE1,2,2,12.519690312753628,29838,165433.60918962397,314.46031905623704,396087.8,758.0
CE1,2,3,11.38703886359092,29838,92284.29006635833,314.46031905623704,228760.09999999998,758.0
CE1,2,4,10.530236670288307,29838,59632.92593337355,314.46031905623704,150284.39999999997,758.0
CE1,2,5,9.839720095390057,29838,41865.85314029091,314.46031905623704,107312.0,758.0
CE1,2,6,9.263204743742897,29838,30805.16230980629,314.46031905623704,81941.2,758.0
CE1,2,7,8.693143235966398,29838,23295.20641463905,314.46031905623704,61274.3,758.0
CE1,2,8,8.248857139067907,29838,17856.432703264294,314.46031905623704,51261.6,758.0
CE1,2,9,7.841006534786664,29838,13688.609993967424,314.46031905623704,44472.5,758.0
CE1,2,10,7.507101920257909,29838,11164.76399222468,314.46031905623704,39046.3,758.0
CE1,2,11,7.242050801900865,29838,9643.925832830619,314.46031905623704,34678.3,758.0
CE1,2,12,6.992179214020581,29838,8391.34794557276,314.46031905623704,31042.3,758.0
CE1,2,13,6.756658293047215,29838,7357.637073530397,314.46031905623704,27973.899999999998,758.0
CE1,2,14,6.540398623221517,29838,6539.320933038407,314.46031905623704,25353.0,758.0
CE1,2,15,6.339360221799111,29838,5876.3651719284135,314.46031905623704,23074.6,758.0
CE1,2,16,6.149193963792335,29838,5321.200482606073,314.46031905623704,21068.6,758.0
CE1,2,17,5.9703574328259865,29838,4863.953079965145,314.46031905623704,19274.3,758.0
CE1,2,18,5.797694972828064,29838,4458.584791205845,314.46031905623704,17691.899999999998,758.0
CE1,2,19,5.645479913003064,29838,4128.82492124137,314.46031905623704,16407.0,758.0
CE1,2,20,5.500611353306146,29838,3836.7963335344193,314.46031905623704,15274.3,758.0
CE1,2,21,5.359727276661042,29838,3574.5006367719016,314.46031905623704,14240.3,758.0
CE1,2,22,5.224082928236053,29838,3336.418995911254,314.46031905623704,13320.899999999998,758.0
CE1,2,23,5.090710436177053,29838,3120.0874723506936,314.46031905623704,12465.599999999999,758.0
CE1,2,24,4.95898247877796,29838,2921.132884241571,314.46031905623704,11671.0,758.0
CE1,2,25,4.8337264295313815,29838,2744.771633487499,314.46031905623704,10958.3,758.0
CE1,2,26,4.714528407031764,29838,2588.646155908573,314.46031905623704,10313.3,758.0
CE1,2,27,4.599508680816666,29838,2444.8117501173,314.46031905623704,9733.3,758.0
CE1,2,28,4.486082735773962,29838,2312.629298210336,314.46031905623704,9186.0,758.0
CE1,2,29,4.373587228220428,29838,2189.2417052081237,314.46031905623704,8671.0,758.0
CE1,2,30,4.264452152894728,29838,2075.0692740800323,314.46031905623704,8202.0,758.0
CE1,2,31,4.158267602370289,29838,1967.1752798444936,314.46031905623704,7780.0,758.0
